2024-04-12 12:20:33,464 INFO     функция "transpose()" строка  29 : Транспорирование матрицы [[1, 2, 3], [4, 5, 6], [7, 8, 9], [3, 2, 1]] в матрицу [[1, 4, 7, 3], [2, 5, 8, 2], [3, 6, 9, 1]]
2024-04-12 12:22:09,598 INFO     функция "transpose()": Транспорирование матрицы [[1, 2, 3], [4, 5, 6], [7, 8, 9], [3, 2, 1]] в матрицу [[1, 4, 7, 3], [2, 5, 8, 2], [3, 6, 9, 1]]
2024-04-12 12:24:17,505 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы т.к. ее размерность не совподает
2024-04-12 12:26:01,724 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'>
2024-04-12 12:27:18,211 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 12:28:16,854 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 12:29:19,867 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 12:30:08,665 INFO     функция "transpose()": Транспорирование исходной матрицы [[1, 2, 3], [4, 5, 6, 3], [7, 8, 9], [3, 2, 1]] в матрицу [[1, 4, 7, 3], [2, 5, 8, 2], [3, 6, 9, 1]]
2024-04-12 13:12:50,614 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:12:50,614 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:12:50,614 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:12:50,614 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:13:12,479 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:13:12,479 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:13:12,479 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:13:12,479 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:15:14,436 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:16:58,597 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:21:40,678 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:24:22,700 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:29:58,598 INFO     функция "transpose()": Транспорирование исходной матрицы [[1, 2, 3], [4, 5, 6], [7, 8, 9], [3, 2, 1]] в матрицу [[1, 4, 7, 3], [2, 5, 8, 2], [3, 6, 9, 1]]
2024-04-12 13:30:14,515 INFO     функция "transpose()": Транспорирование исходной матрицы [[1, 2, 3], [4, 5, 6, 7], [7, 8, 9], [3, 2, 1]] в матрицу [[1, 4, 7, 3], [2, 5, 8, 2], [3, 6, 9, 1]]
2024-04-12 13:32:40,739 INFO     функция "transpose()": Транспорирование исходной матрицы [[1, 2, 3], [4, 5, 6, 7], [7, 8, 9], [3, 2, 1]] в матрицу [[1, 4, 7, 3], [2, 5, 8, 2], [3, 6, 9, 1]]
2024-04-12 13:44:00,180 INFO     функция "transpose()": Транспорирование исходной матрицы [[1, 2, 3], [4, 5, 6], [7, 8, 9], [3, 2, 1]] в матрицу [[1, 4, 7, 3], [2, 5, 8, 2], [3, 6, 9, 1]]
2024-04-12 13:44:14,394 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:45:23,295 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
2024-04-12 13:47:12,786 ERROR    функция "transpose()": Невозможно провести транспорирование матрицы <class 'IndexError'> Количество индексов матрицы не совпадает
